t_mono,phase,n1_vel,n2_vel,n1_pos,n2_pos
104057.430034953,fwd,-1243,-1242,-54208220,-71169152
104057.450173454,fwd,-1243,-1242,-54208220,-71169152
104057.470368213,fwd,-1243,-1242,-54208220,-71169152
104057.49051113,fwd,-1243,-1242,-54208220,-71169152
104057.510641503,fwd,-1243,-1242,-54208220,-71169152
104057.530878311,fwd,-1243,-1242,-54208220,-71169152
104057.551009612,fwd,-1243,-1242,-54208220,-71169152
104057.571129393,fwd,-1243,-1242,-54208220,-71169152
104057.591264758,fwd,-1243,-1242,-54208220,-71169152
104057.611401756,fwd,-1243,-1242,-54208220,-71169152
104057.631531361,fwd,-1243,-1242,-54208220,-71169152
104057.651953518,fwd,-1228,-1238,-54237731,-71198781
104057.67233129,fwd,-1228,-1238,-54237731,-71198781
104057.692481632,fwd,-1228,-1238,-54237731,-71198781
104057.712621061,fwd,-1228,-1238,-54237731,-71198781
104057.732758571,fwd,-1228,-1238,-54237731,-71198781
104057.753473888,stop1,-1228,-1238,-54237731,-71198781
104057.77361879,stop1,-1228,-1238,-54237731,-71198781
104057.793760683,stop1,-1228,-1238,-54237731,-71198781
104057.814013012,stop1,-1228,-1238,-54237731,-71198781
104057.834148985,stop1,-1228,-1238,-54237731,-71198781
104057.854275326,stop1,-1228,-1238,-54237731,-71198781
104057.874703084,stop1,-1217,-1227,-54261900,-71222236
104057.894844945,stop1,-1217,-1227,-54261900,-71222236
104057.915392738,stop1,-1217,-1227,-54261900,-71222236
104057.935625002,stop1,-1217,-1227,-54261900,-71222236
104057.955761679,stop1,-1217,-1227,-54261900,-71222236
104057.975918101,stop1,-1217,-1227,-54261900,-71222236
104057.996150717,stop1,-1217,-1227,-54261900,-71222236
104058.016368804,stop1,-1217,-1227,-54261900,-71222236
104058.036512586,stop1,-1217,-1227,-54261900,-71222236
104058.056646895,stop1,-1217,-1227,-54261900,-71222236
104058.076765908,stop1,-1217,-1227,-54261900,-71222236
104058.097134943,stop1,116,146,-54259325,-71220368
104058.117274341,stop1,116,146,-54259325,-71220368
104058.137411146,stop1,116,146,-54259325,-71220368
104058.157548943,stop1,116,146,-54259325,-71220368
104058.177736246,stop1,116,146,-54259325,-71220368
104058.198039168,stop1,116,146,-54259325,-71220368
104058.218173957,stop1,116,146,-54259325,-71220368
104058.238307594,stop1,116,146,-54259325,-71220368
104058.258437679,stop1,116,146,-54259325,-71220368
104058.278571316,stop1,116,146,-54259325,-71220368
104058.298704217,stop1,116,146,-54259325,-71220368
104058.319097126,stop1,-13,-5,-54259403,-71220192
104058.340631027,stop1,-13,-5,-54259403,-71220192
104058.360776921,stop1,-13,-5,-54259403,-71220192
104058.38090819,stop1,-13,-5,-54259403,-71220192
104058.401035683,stop1,-13,-5,-54259403,-71220192
104058.42116564,stop1,-13,-5,-54259403,-71220192
104058.441301325,stop1,-13,-5,-54259403,-71220192
104058.461435538,stop1,-13,-5,-54259403,-71220192
104058.481566935,stop1,-13,-5,-54259403,-71220192
104058.501811199,stop1,-13,-5,-54259403,-71220192
104058.521953029,stop1,-13,-5,-54259403,-71220192
104058.542394419,stop1,2,0,-54259371,-71220192
104058.56254364,stop1,2,0,-54259371,-71220192
104058.582672157,stop1,2,0,-54259371,-71220192
104058.602860484,stop1,2,0,-54259371,-71220192
104058.623000425,stop1,2,0,-54259371,-71220192
104058.643446487,stop1,2,0,-54259371,-71220192
104058.663578556,stop1,2,0,-54259371,-71220192
104058.683722434,stop1,2,0,-54259371,-71220192
104058.703863847,stop1,2,0,-54259371,-71220192
104058.723995276,stop1,2,0,-54259371,-71220192
104058.744139601,stop1,2,0,-54259371,-71220192
104058.764574047,stop1,0,0,-54259371,-71220198
104058.784724165,stop1,0,0,-54259371,-71220198
104058.804874058,stop1,0,0,-54259371,-71220198
104058.82501976,stop1,0,0,-54259371,-71220198
104058.845163061,stop1,0,0,-54259371,-71220198
104058.865260025,stop1,0,0,-54259371,-71220198
104058.885393598,stop1,0,0,-54259371,-71220198
104058.905527331,stop1,0,0,-54259371,-71220198
104058.92566372,stop1,0,0,-54259371,-71220198
104058.94581915,stop1,0,0,-54259371,-71220198
104058.965955699,stop1,0,0,-54259371,-71220198
104058.986339103,stop1,0,0,-54259371,-71220198
104059.006475717,stop1,0,0,-54259371,-71220198
104059.026613578,stop1,0,0,-54259371,-71220198
104059.046751695,stop1,0,0,-54259371,-71220198
104059.066888436,stop1,0,0,-54259371,-71220198
104059.087022905,stop1,0,0,-54259371,-71220198
104059.10716403,stop1,0,0,-54259371,-71220198
104059.127305828,stop1,0,0,-54259371,-71220198
104059.14755598,stop1,0,0,-54259371,-71220198
104059.167692273,stop1,0,0,-54259371,-71220198
104059.18782495,stop1,0,0,-54259371,-71220198
104059.207961659,stop1,0,0,-54259371,-71220198
104059.228389641,stop1,0,0,-54259371,-71220198
104059.248537902,stop1,0,0,-54259371,-71220198
104059.268673651,stop1,0,0,-54259371,-71220198
104059.288813209,stop1,0,0,-54259371,-71220198
104059.308948062,stop1,0,0,-54259371,-71220198
104059.329082627,stop1,0,0,-54259371,-71220198
104059.349212872,stop1,0,0,-54259371,-71220198
104059.369348973,stop1,0,0,-54259371,-71220198
104059.389492626,stop1,0,0,-54259371,-71220198
104059.409635511,stop1,0,0,-54259371,-71220198
104059.429771645,stop1,0,0,-54259371,-71220198
104059.450185994,stop1,0,0,-54259371,-71220198
104059.470322511,stop1,0,0,-54259371,-71220198
104059.490464948,stop1,0,0,-54259371,-71220198
104059.510600249,stop1,0,0,-54259371,-71220198
104059.530764799,stop1,0,0,-54259371,-71220198
104059.550904324,stop1,0,0,-54259371,-71220198
