t_mono,ax,ay,az,gx,gy,gz
104742.2809,0.28439285,0.0196133,9.79684335,-0.0028099800957108708,-0.0023387411976724015,-0.0026005405854715507
104742.2816,0.25497289999999995,-0.06864655,9.845876599999999,-0.0027925268031909274,-0.005358160803622592,0.00015707963267948965
104742.2821,0.3138128,-0.0392266,9.81645665,-0.005899212871740834,0.0022165681500327986,-0.00047123889803846896
104742.2825,0.3138128,-0.0196133,9.80665,-0.0006283185307179586,0.0006108652381980154,0.003438298626428829
104742.2828,0.2353596,-0.0588399,9.81645665,-0.0060911990894602095,0.0019198621771937625,-0.0017453292519943296
104742.2906,0.32361945,-0.0392266,9.81645665,0.004485496177625427,-0.0007853981633974482,-0.00027925268031909274
104742.3008,0.25497289999999995,0.0,9.81645665,0.008220500776893291,-0.0010821041362364843,0.00047123889803846896
104742.3114,0.21574629999999997,-0.06864655,9.826263299999999,0.002897246558310587,-0.0019373154697137059,0.008325220532012952
104742.3222,0.3138128,-0.06864655,9.80665,0.0067369709126981125,0.004939281783143952,-0.0005759586531581288
104742.3324,0.26477955,-0.0588399,9.7870367,0.004171336912266448,-0.0037175513067479217,0.006824237375297829
104742.3426,0.29419949999999995,0.0,9.77723005,0.003839724354387525,-0.004433136300065597,0.0005759586531581288
104742.3554,0.2353596,-0.0196133,9.81645665,0.0004363323129985824,0.01174606586592184,-0.0024609142453120045
104742.3642,0.2745862,-0.1176798,9.77723005,-0.003420845333908886,-0.0006108652381980154,-0.0042935099599060505
104742.3756,0.30400615,-0.0196133,9.8654899,-0.005881759579220891,0.001710422666954443,-0.008848819307611252
104742.3861,0.2353596,-0.0392266,9.81645665,-0.010035643198967395,0.00047123889803846896,-0.00799360797413403
104742.3957,0.35303939999999995,-0.08825984999999999,9.826263299999999,0.0033161255787892262,0.0012566370614359172,0.004485496177625427
104742.4057,0.24516625,-0.0588399,9.826263299999999,-0.003193952531149623,0.003560471674068432,0.002478367537831948
104742.4157,0.28439285,-0.0588399,9.81645665,-0.003403392041388943,0.0012217304763960308,0.0040666171571467884
104742.4255,0.2745862,-0.0588399,9.826263299999999,-0.010890854532444616,0.004904375198104067,-0.00767944870877505
104742.4355,0.196133,0.00980665,9.77723005,0.002670353755551324,0.0028448866807507574,-6.981317007977319e-05
104742.4479,0.28439285,-0.02941995,9.855683249999998,0.009494591130849153,0.0010297442586766543,0.0019373154697137059
104742.4557,0.24516625,-0.00980665,9.836069949999999,0.0037524578917878084,0.00809832772925369,-0.0043982297150257105
104742.4670,0.3138128,-0.0392266,9.79684335,-0.0009424777960769379,0.00926769832808989,0.009285151620609835
104742.4804,0.24516625,-0.0392266,9.8654899,0.0036477381366681488,0.0025132741228718345,-0.0012566370614359172
104742.4893,0.28439285,0.0,9.845876599999999,-0.0006457718232379018,-0.0004886921905584122,-0.0019896753472735357
104742.5004,0.20593965,0.0196133,9.836069949999999,-0.003420845333908886,0.0046251225177849735,-0.0016580627893946131
104742.5103,0.26477955,0.02941995,9.875296549999998,-0.005131268000863329,0.0016580627893946131,-0.009930923443847734
104742.5209,0.30400615,-0.0196133,9.80665,0.009826203688728075,0.0019896753472735357,-0.004310963252425994
104742.5310,0.2353596,-0.02941995,9.836069949999999,-0.007051130178057092,0.0012915436464758037,-0.010978120995044333
104742.5419,0.22555294999999997,-0.04903325,9.836069949999999,0.003403392041388943,-0.0113271868454432,0.003926990816987242
104742.5524,0.392266,-0.06864655,9.7870367,-0.0027576202181510408,0.0013264502315156904,0.005881759579220891
104742.5630,0.29419949999999995,-0.0588399,9.7870367,-0.0009424777960769379,-0.0006108652381980154,0.0002617993877991494
104742.5740,0.25497289999999995,-0.0392266,9.7870367,0.005026548245743669,0.0009424777960769379,-0.0010122909661567112
104742.5852,0.25497289999999995,-0.06864655,9.81645665,-0.003403392041388943,0.0004363323129985824,-0.001117010721276371
104742.5946,0.3138128,-0.0980665,9.845876599999999,-0.0022514747350726853,-0.0002617993877991494,-0.010122909661567111
104742.6066,0.29419949999999995,0.0,9.826263299999999,-0.0007504915783575617,-0.004607669225265031,0.0027925268031909274
104742.6175,0.2745862,-0.0196133,9.79684335,0.007260569688296411,0.004590215932745087,-0.00013962634015954637
104742.6280,0.26477955,-0.0588399,9.80665,0.0006632251157578452,0.005218534463463045,-0.004904375198104067
104742.6387,0.2745862,-0.0196133,9.80665,0.002478367537831948,0.007609635538695277,0.0010471975511965976
104742.6493,0.29419949999999995,-0.0196133,9.80665,0.0022689280275926286,0.002007128639793479,-0.004276056667386108
104742.9829,0.2745862,-0.0,9.7674234,0.0010995574287564276,-0.004136430327226561,-0.0036477381366681488
104742.9835,0.2745862,0.02941995,9.7870367,0.007051130178057092,0.008848819307611252,-0.0024609142453120045
104742.9844,0.3334261,0.0392266,9.855683249999998,-0.0009250245035569946,0.003787364476827695,0.007923794804054257
104742.9849,0.24516625,-0.0196133,9.826263299999999,-0.0004188790204786391,-0.008063421144213804,-0.000593411945678072
104742.9853,0.28439285,0.0196133,9.826263299999999,0.002373647782712288,-0.0016929693744344998,-0.0022689280275926286
