dt,tag,n1_vel,n2_vel
0.00014906100113876164,idle,0,0
0.0001776690041879192,idle,0,0
0.010766092003905214,idle,0,0
0.012422906002029777,idle,0,0
0.022866685001645237,idle,0,0
0.03275016100087669,idle,0,0
0.04318801900080871,idle,0,0
0.0526835159980692,idle,0,0
0.06320595300348941,idle,0,0
0.07249226000567432,idle,0,0
0.08296493500529323,idle,0,0
0.09354923000501003,idle,0,0
0.10406257900467608,idle,0,0
0.11250441400625277,idle,0,0
0.12303043500287458,idle,0,0
0.13261470200086478,idle,0,0
0.14309793800930493,idle,0,0
0.15272191900294274,idle,0,0
0.16315974500321317,idle,0,0
0.17258087200752925,idle,0,0
0.18304778699530289,idle,0,0
0.19248545799928252,idle,0,0
0.20304245600709692,idle,0,0
0.21250899200094864,idle,0,0
0.22294496299582534,idle,0,0
0.23263844900066033,idle,0,0
0.24311707699962426,idle,0,0
0.25255317900155205,idle,0,0
0.26327712599595543,idle,0,0
0.27249335100350436,idle,0,0
0.2830731980066048,idle,0,0
0.29247745900647715,idle,0,0
0.3029521510034101,idle,0,0
0.3124540480057476,idle,0,0
0.3229263399989577,idle,0,0
0.3324454210087424,idle,0,0
0.3429389609955251,idle,0,0
0.35266944000613876,idle,0,0
0.36309072200674564,idle,0,0
0.3727013900061138,idle,0,0
0.38317870600440074,idle,0,0
0.39250184599950444,idle,0,0
0.40306031600630376,idle,0,0
0.41252137899573427,idle,0,0
0.4230240720062284,idle,0,0
0.43247675099701155,idle,0,0
0.44292894600948785,idle,0,0
0.4526393609994557,idle,0,0
0.46309280399873387,idle,0,0
0.4725593720067991,idle,0,0
0.483024335000664,idle,0,0
0.49247557400667574,idle,0,0
0.5030254680023063,idle,0,0
0.512746763008181,idle,0,0
0.5232598239963409,idle,0,0
0.5348935880028876,idle,0,0
0.5350078629999189,idle,0,0
0.5454342020093463,idle,0,0
0.553059501995449,idle,0,0
0.5635961789957946,idle,0,0
0.5729926970088854,idle,0,0
0.5834548770071706,idle,0,0
0.5930101190024288,idle,0,0
0.6034730340034002,idle,0,0
0.6128600480005844,idle,0,0
0.6233570440090261,idle,0,0
0.6324648180016084,idle,0,0
0.6430273200094234,idle,0,0
0.6526147870026762,idle,0,0
0.6630710140016163,idle,0,0
0.6726449130073888,idle,0,0
0.6830937479971908,idle,0,0
0.6926709429972107,idle,0,0
0.7032170930033317,idle,0,0
0.7125469199963845,idle,0,0
0.7230505729967263,idle,0,0
0.7324265780043788,idle,0,0
0.7428946459986037,idle,0,0
0.7528076900052838,idle,0,0
0.7632231160096126,idle,0,0
0.7724468289961806,idle,0,0
0.7828993440052727,idle,0,0
0.7925001230032649,idle,0,0
0.802972254998167,idle,0,0
0.8125883949978743,idle,0,0
0.8230008770042332,idle,0,0
0.8325829999957932,idle,0,0
0.8430958050012123,idle,0,0
