t_mono,ax,ay,az,gx,gy,gz
104052.8746,0.25497289999999995,-0.0392266,9.80665,-0.0005585053606381855,-0.003560471674068432,-0.0056374134839416844
104052.8847,0.25497289999999995,-0.12748644999999997,9.7085835,-0.002356194490192345,-0.002548180707911721,-0.0006457718232379018
104052.8947,0.24516625,-0.02941995,9.845876599999999,-0.004276056667386108,0.0065100781099388496,-0.00614355896702004
104052.9045,0.26477955,-0.0196133,9.81645665,-0.006213372137099813,0.004433136300065597,0.0019373154697137059
104052.9146,0.26477955,-0.0196133,9.71839015,0.004485496177625427,0.0019373154697137059,-0.00010471975511965978
104052.9264,0.26477955,0.0,9.77723005,0.0038222710618675817,-0.0014486232791552935,0.005288347633542819
104052.9355,0.24516625,-0.04903325,9.826263299999999,0.0009250245035569946,-0.0004886921905584122,-0.009232791743050004
104052.9465,0.2745862,0.00980665,9.79684335,0.004276056667386108,0.011658799403322121,0.008831366015091307
104052.9575,0.20593965,-0.10787314999999999,9.81645665,-0.0016231562043547264,0.0004537856055185257,-0.001064650843716541
104052.9713,0.2745862,0.0,9.80665,0.00307177948351002,0.0028448866807507574,0.0013962634015954637
104052.9807,0.196133,-0.0392266,9.7870367,0.0027576202181510408,0.0033859387488689996,-0.002007128639793479
104052.9909,0.25497289999999995,-0.00980665,9.7870367,0.0008203047484373349,-0.0016231562043547264,-0.0053058009260627615
104053.0009,0.28439285,-0.00980665,9.79684335,-0.0024609142453120045,0.0038222710618675817,0.004468042885105484
104053.0104,0.2745862,-0.00980665,9.79684335,0.0024434609527920616,-0.0015882496193148398,0.0015707963267948964
104053.0228,0.30400615,-0.0588399,9.81645665,-0.0022689280275926286,0.005881759579220891,-0.00466002910282486
104053.0327,0.2745862,0.0196133,9.77723005,-0.001186823891356144,0.0008726646259971648,-0.007330382858376184
104053.0425,0.24516625,-0.02941995,9.7870367,-0.004276056667386108,0.0054105206811824215,-0.00466002910282486
104053.0549,0.25497289999999995,0.04903325,9.894909849999998,-0.0113271868454432,0.005462880558742251,0.0019198621771937625
104053.0638,0.24516625,0.02941995,9.875296549999998,0.0015882496193148398,-0.0019722220547535923,-0.0017278759594743863
104053.0738,0.2745862,-0.04903325,9.826263299999999,-0.004153883619746504,-0.0007853981633974482,-0.0019198621771937625
104053.0837,0.3334261,-0.08825984999999999,9.836069949999999,0.003298672286269283,-0.00047123889803846896,0.0032637657012293962
104053.0941,0.28439285,-0.0980665,9.826263299999999,0.006911503837897545,-0.002478367537831948,-0.011152653920243767
104053.1035,0.24516625,-0.0392266,9.81645665,-0.005777039824101231,-0.004223696789826277,0.0035779249665883754
104053.1136,0.30400615,-0.0392266,9.845876599999999,0.004886921905584123,0.003996803987067015,-0.00022689280275926284
104053.1244,0.26477955,-0.04903325,9.81645665,-0.0037699111843077517,0.0019198621771937625,-0.0055152404363020815
104053.1353,0.25497289999999995,-0.12748644999999997,9.79684335,0.009930923443847734,-0.00153588974175501,0.0030543261909900766
104053.1455,0.35303939999999995,-0.06864655,9.757616749999999,-0.0037699111843077517,-0.00010471975511965978,-0.0015009831567151233
104053.1771,0.3334261,-0.1176798,9.80665,0.0027925268031909274,0.00019198621771937625,0.003892084231947355
